ITEMID,CATEGORY
B201-B102-NOP,B
B202-B102-NOP,B
B203-B102-NOP,B
B204-B102-NOP,B
B205-B102-NOP,B
B206-B103-POS,B
B207-B103-POS,B
B208-B103-POS,B
B209-B103-POS,B
B210-B103-POS,B
B211-B103-NOP,B
B212-B103-NOP,B
B213-B103-NOP,B
B214-B103-NOP,B
B215-B103-NOP,B
B216-B103-NOP,B
B217-B103-POS,B
B218-B103-POS,B
B219-B103-POS,B
B220-B103-POS,B
B221-B104-NOP,B
B222-B104-NOP,B
B223-B104-NOP,B
B224-B104-POS,B
B225-B104-POS,B
B226-B104-POS,B
B227-B104-POS,B
B228-B104-POS,B
B229-B104-POS,B
B230-B104-POS,B
