ITEMID,STOREID,WEEKID,SALES
B230-B104-POS,957372,40,5737.37
B218-B103-POS,957415,40,4337.88
B219-B103-POS,957415,40,6928.33
B220-B103-POS,957415,40,5443.44
B220-B103-POS,957458,40,3747.53
B230-B104-POS,957458,40,6679.42
A107-A100-POS,957501,40,5169.28
B219-B103-POS,957501,40,2655.27
B220-B103-POS,957501,40,8592.55
A107-A100-POS,957544,40,2075.23
A118-A101-POS,957544,40,9694.85
B220-B103-POS,957544,40,8318.59
B230-B104-POS,957544,40,905.19
B218-B103-POS,957587,40,9864
B219-B103-POS,957587,40,4118.01
B220-B103-POS,957587,40,50.4
B220-B103-POS,957630,40,8990.13
B230-B104-POS,957630,40,7603.13
B219-B103-POS,957673,40,7294.93
B220-B103-POS,957673,40,4412.63
B230-B104-POS,957673,40,8369.82
B220-B103-POS,957716,40,8435.81
B220-B103-POS,957802,40,7276.85
B220-B103-POS,957845,40,606.58
B218-B103-POS,957888,40,4198.2
B219-B103-POS,957888,40,4683.89
B220-B103-POS,957888,40,2699.38
B220-B103-POS,957931,40,5575.56
B230-B104-POS,957931,40,2593.39
B220-B103-POS,957974,40,6551.28
B230-B104-POS,957974,40,7924.15
B220-B103-POS,958103,40,4760.25
B218-B103-POS,958146,40,32.95
B220-B103-POS,958146,40,3783.7
B230-B104-POS,958146,40,1566.75
A101-A100-POS,958189,40,6448.8
A109-A100-POS,958189,40,388.01
A118-A101-POS,958189,40,5066.28
B220-B103-POS,958189,40,4740.48
B230-B104-POS,958189,40,4604.98
B218-B103-POS,958275,40,1902.64
B220-B103-POS,958275,40,7911.17
A108-A100-POS,958361,40,8984.76
B220-B103-POS,958361,40,9189.83
B218-B103-POS,958404,40,2026.11
B219-B103-POS,958404,40,2115.57
B220-B103-POS,958404,40,6130.26
B230-B104-POS,958404,40,9660.77
B220-B103-POS,958490,40,3353.6
B230-B104-POS,958490,40,9885.67
B220-B103-POS,958533,40,4118.86
B230-B104-POS,958533,40,614.05
B220-B103-POS,958576,40,6432.31
B220-B103-POS,958619,40,5769.28
B230-B104-POS,958619,40,1209.53
A109-A100-POS,958662,40,9136.45
A110-A100-POS,958662,40,3506.86
B219-B103-POS,958662,40,7972.06
B220-B103-POS,958662,40,8599.9
B226-B104-POS,958662,40,2680.04
B230-B104-POS,958662,40,7765.02
B218-B103-POS,958705,40,8541.2
B220-B103-POS,958705,40,8211.29
A101-A100-POS,958791,40,8210.16
A107-A100-POS,958791,40,7834.65
A110-A100-POS,958791,40,329.51
B218-B103-POS,958791,40,4420.02
B219-B103-POS,958791,40,296.85
B220-B103-POS,958791,40,9076.49
B226-B104-POS,958791,40,1580.28
B220-B103-POS,958877,40,5732.89
B226-B104-POS,958877,40,3339.02
B220-B103-POS,958920,40,4517.34
B220-B103-POS,959049,40,1396.88
B230-B104-POS,959049,40,4941.33
B220-B103-POS,959092,40,7963.51
B220-B103-POS,959135,40,3926.55
B218-B103-POS,959178,40,7808.7
B220-B103-POS,959178,40,3433.71
B230-B104-POS,959178,40,9164.76
B218-B103-POS,959264,40,2843.63
B220-B103-POS,959264,40,9026.61
B230-B104-POS,959264,40,6574.63
B220-B103-POS,959307,40,7289.56
B220-B103-POS,959393,40,6785.2
A110-A100-POS,959436,40,3656.88
B220-B103-POS,959436,40,6080.01
B220-B103-POS,959479,40,2191.78
B230-B104-POS,959479,40,2231.17
B220-B103-POS,959565,40,6578.74
B220-B103-POS,959608,40,9296.46
B220-B103-POS,959651,40,6680.17
B220-B103-POS,959694,40,8598.7
B230-B104-POS,959694,40,7562.33
B220-B103-POS,959780,40,5566.18
B220-B103-POS,959823,40,1292.4
B218-B103-POS,959909,40,8067.3
B220-B103-POS,959909,40,1932.57
B230-B104-POS,959909,40,1512.28
B220-B103-POS,959952,40,300.55
B220-B103-POS,960038,40,7887.04
B226-B104-POS,960038,40,5224.17
B218-B103-POS,960081,40,4808.05
B220-B103-POS,960081,40,2551.06
B230-B104-POS,960081,40,5148.47
B220-B103-POS,960124,40,8946.46
B218-B103-POS,960210,40,1662.5
B220-B103-POS,960210,40,687.04
B230-B104-POS,960210,40,4794.24
B218-B103-POS,960253,40,7304.05
B220-B103-POS,960253,40,3308.62
B230-B104-POS,960253,40,8081.81
B219-B103-POS,960296,40,8537.43
B220-B103-POS,960296,40,7694.39
B220-B103-POS,960339,40,6542.54
